"uuid","current","power","rtc"
"d500000c-01","7.749","77.32","1498838400"
"d500000c-01","7.815","78.68","1498838580"
"d500000c-01","7.811","78.6","1498838760"
"d500000c-01","7.788","78.13","1498838940"
"d500000c-01","7.784","78.05","1498839120"
"d500000c-01","7.772","77.8","1498839300"
"d500000c-01","7.757","77.49","1498839480"
"d500000c-01","7.811","78.6","1498839660"
"d500000c-01","7.772","77.8","1498839840"
"d500000c-01","7.776","77.88","1498840020"
"d500000c-01","7.772","77.8","1498840200"
"d500000c-01","7.788","78.13","1498840380"
"d500000c-01","7.831","79.01","1498840560"
"d500000c-01","7.788","78.13","1498840740"
"d500000c-01","7.811","78.6","1498840920"
"d500000c-01","7.737","77.08","1498841100"
"d500000c-01","7.796","78.29","1498841280"
"d500000c-01","7.737","77.08","1498841460"
"d500000c-01","7.776","77.88","1498841640"
"d500000c-01","7.757","77.49","1498841820"
"d500000c-01","7.8","78.38","1498842000"
"d500000c-01","7.729","76.91","1498842180"
"d500000c-01","7.819","78.77","1498842360"
"d500000c-01","7.753","77.41","1498842540"
"d500000c-01","7.757","77.49","1498842720"
"d500000c-01","7.776","77.88","1498842900"
"d500000c-01","7.76","77.55","1498843080"
"d500000c-01","7.808","78.54","1498843260"
"d500000c-01","7.784","78.05","1498843440"
"d500000c-01","7.737","77.08","1498843620"
"d500000c-01","7.76","77.55","1498843800"
"d500000c-01","7.729","76.91","1498843980"
"d500000c-01","7.78","77.96","1498844160"
"d500000c-01","7.772","77.8","1498844340"
"d500000c-01","7.772","77.8","1498844520"
"d500000c-01","7.725","76.83","1498844700"
"d500000c-01","7.772","77.8","1498844880"
"d500000c-01","7.768","77.72","1498845060"
"d500000c-01","7.776","77.88","1498845240"
"d500000c-01","7.764","77.63","1498845420"
"d500000c-01","7.78","77.96","1498845600"
"d500000c-01","7.8","78.38","1498845780"
"d500000c-01","7.757","77.49","1498845960"
"d500000c-01","7.792","78.21","1498846140"
"d500000c-01","7.8","78.38","1498846320"
"d500000c-01","7.788","78.13","1498846500"
"d500000c-01","7.811","78.6","1498846680"
"d500000c-01","7.772","77.8","1498846860"
"d500000c-01","7.768","77.72","1498847040"
"d500000c-01","7.8","78.38","1498847220"
"d500000c-01","7.772","77.8","1498847400"
"d500000c-01","7.8","78.38","1498847580"
"d500000c-01","7.804","78.46","1498847760"
"d500000c-01","7.804","78.46","1498847940"
"d500000c-01","7.78","77.96","1498848120"
"d500000c-01","7.713","76.58","1498848300"
"d500000c-01","7.78","77.96","1498848480"
"d500000c-01","7.757","77.49","1498848660"
"d500000c-01","7.808","78.54","1498848840"
"d500000c-01","7.788","78.13","1498849020"
"d500000c-01","7.776","77.88","1498849200"
"d500000c-01","7.733","76.99","1498849380"
"d500000c-01","7.776","77.88","1498849560"
"d500000c-01","7.76","77.55","1498849740"
"d500000c-01","7.768","77.72","1498849920"
"d500000c-01","7.8","78.38","1498850100"
"d500000c-01","7.804","78.46","1498850280"
"d500000c-01","7.749","77.32","1498850460"
"d500000c-01","7.745","77.24","1498850640"
"d500000c-01","7.78","77.96","1498850820"
"d500000c-01","7.776","77.88","1498851000"
"d500000c-01","7.788","78.13","1498851180"
"d500000c-01","7.729","76.91","1498851360"
"d500000c-01","7.772","77.8","1498851540"
"d500000c-01","7.776","77.88","1498851720"
"d500000c-01","7.768","77.72","1498851900"
"d500000c-01","7.792","78.21","1498852080"
"d500000c-01","7.776","77.88","1498852260"
"d500000c-01","7.725","76.83","1498852440"
"d500000c-01","7.749","77.32","1498852620"
"d500000c-01","7.757","77.49","1498852800"
"d500000c-01","7.808","78.54","1498852980"
"d500000c-01","7.788","78.13","1498853160"
"d500000c-01","7.729","76.91","1498853340"
"d500000c-01","7.784","78.05","1498853520"
"d500000c-01","7.764","77.63","1498853700"
"d500000c-01","7.753","77.41","1498853880"
"d500000c-01","7.808","78.54","1498854060"
"d500000c-01","7.784","78.05","1498854240"
"d500000c-01","7.784","78.05","1498854420"
"d500000c-01","7.749","77.32","1498854600"
"d500000c-01","7.78","77.96","1498854780"
"d500000c-01","7.745","77.24","1498854960"
"d500000c-01","7.772","77.8","1498855140"
"d500000c-01","7.776","77.88","1498855320"
"d500000c-01","7.741","77.16","1498855500"
"d500000c-01","7.792","78.21","1498855680"
"d500000c-01","7.745","77.24","1498855860"
"d500000c-01","7.737","77.08","1498856040"
"d500000c-01","7.792","78.21","1498856220"
"d500000c-01","7.741","77.16","1498856400"
"d500000c-01","7.757","77.49","1498856580"
"d500000c-01","7.8","78.38","1498856760"
"d500000c-01","7.808","78.54","1498856940"
"d500000c-01","7.819","78.77","1498857120"
"d500000c-01","7.811","78.6","1498857300"
"d500000c-01","7.784","78.05","1498857480"
"d500000c-01","7.784","78.05","1498857660"
"d500000c-01","7.796","78.29","1498857840"
"d500000c-01","7.8","78.38","1498858020"
"d500000c-01","7.815","78.68","1498858200"
"d500000c-01","7.811","78.6","1498858380"
"d500000c-01","7.808","78.54","1498858560"
"d500000c-01","7.823","78.85","1498858740"
"d500000c-01","7.804","78.46","1498858920"
"d500000c-01","7.835","79.1","1498859100"
"d500000c-01","7.811","78.6","1498859280"
"d500000c-01","7.819","78.77","1498859460"
"d500000c-01","7.796","78.29","1498859640"
"d500000c-01","7.823","78.85","1498859820"
"d500000c-01","7.839","79.18","1498860000"
"d500000c-01","7.792","78.21","1498860180"
"d500000c-01","7.796","78.29","1498860360"
"d500000c-01","7.835","79.1","1498860540"
"d500000c-01","7.76","77.55","1498860720"
"d500000c-01","7.772","77.8","1498860900"
"d500000c-01","7.835","79.1","1498861080"
"d500000c-01","7.823","78.85","1498861260"
"d500000c-01","7.784","78.05","1498861440"
"d500000c-01","7.819","78.77","1498861620"
"d500000c-01","7.811","78.6","1498861800"
"d500000c-01","7.878","79.98","1498861980"
"d500000c-01","7.862","79.65","1498862160"
"d500000c-01","7.851","79.43","1498862340"
"d500000c-01","7.804","78.46","1498862520"
"d500000c-01","7.858","79.57","1498862700"
"d500000c-01","7.847","79.34","1498862880"
"d500000c-01","7.839","79.18","1498863060"
"d500000c-01","7.894","80.31","1498863240"
"d500000c-01","7.831","79.01","1498863420"
"d500000c-01","7.835","79.1","1498863600"
"d500000c-01","7.831","79.01","1498863780"
"d500000c-01","7.855","79.51","1498863960"
"d500000c-01","7.804","78.46","1498864140"
"d500000c-01","7.76","77.55","1498864320"
"d500000c-01","7.823","78.85","1498864500"
"d500000c-01","7.843","79.26","1498864680"
"d500000c-01","7.835","79.1","1498864860"
"d500000c-01","7.835","79.1","1498865040"
"d500000c-01","7.933","81.12","1498865220"
"d500000c-01","7.858","79.57","1498865400"
"d500000c-01","7.858","79.57","1498865580"
"d500000c-01","7.851","79.43","1498865760"
"d500000c-01","7.858","79.57","1498865940"
"d500000c-01","7.878","79.98","1498866120"
"d500000c-01","7.878","79.98","1498866300"
"d500000c-01","7.847","79.34","1498866480"
"d500000c-01","7.839","79.18","1498866660"
"d500000c-01","7.862","79.65","1498866840"
"d500000c-01","7.866","79.74","1498867020"
"d500000c-01","7.851","79.43","1498867200"
"d500000c-01","7.894","80.31","1498867380"
"d500000c-01","7.898","80.4","1498867560"
"d500000c-01","7.827","78.93","1498867740"
"d500000c-01","7.843","79.26","1498867920"
"d500000c-01","7.847","79.34","1498868100"
"d500000c-01","7.862","79.65","1498868280"
"d500000c-01","7.886","80.15","1498868460"
"d500000c-01","7.874","79.9","1498868640"
"d500000c-01","7.866","79.74","1498868820"
"d500000c-01","7.874","79.9","1498869000"
"d500000c-01","7.878","79.98","1498869180"
"d500000c-01","7.855","79.51","1498869360"
"d500000c-01","7.862","79.65","1498869540"
"d500000c-01","7.898","80.4","1498869720"
"d500000c-01","7.862","79.65","1498869900"
"d500000c-01","7.894","80.31","1498870080"
"d500000c-01","7.921","80.87","1498870260"
"d500000c-01","7.882","80.07","1498870440"
"d500000c-01","7.882","80.07","1498870620"
